"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2024*"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Voerendaal";"5,6";"100";"1,9";"341,9";"223,4"
"Voorne aan Zee";"33,6";"100";"12,8";"379,7";"186,0"
"Voorschoten";"11,3";"100";"6,5";"573,2";"319,2"
"Voorst";"10,6";"100";"5,2";"495,1";"327,9"
"Vught";"13,8";"100";"8,2";"593,3";"296,9"
"Waadhoeke";"20,8";"100";"5,4";"260,9";"138,5"
"Waalre";"7,9";"100";"7,0";"893,1";"357,6"
"Waalwijk";"23,0";"100";"6,8";"297,1";"143,5"
"Waddinxveen";"13,9";"100";"4,6";"333,2";"196,6"
"Wageningen";"22,8";"100";"5,5";"241,5";"20,5"
"Wassenaar";"11,7";"100";"14,5";"1239,6";"317,4"
"Waterland";"7,8";"100";"4,2";"539,4";"290,1"
"Weert";"23,6";"100";"7,4";"313,2";"177,5"
"West Betuwe";"21,5";"100";"10,3";"478,8";"272,4"
"West Maas en Waal";"8,8";"100";"3,8";"436,0";"267,3"
"Westerkwartier";"27,4";"100";"8,9";"324,2";"190,6"
"Westerveld";"8,9";"100";"3,8";"429,4";"278,0"
"Westervoort";"6,8";"100";"1,5";"221,2";"133,1"
"Westerwolde";"11,3";"100";"3,5";"312,1";"181,6"
"Westland";"49,5";"100";"25,1";"506,3";"255,2"
"Weststellingwerf";"11,7";"100";"3,7";"314,5";"173,6"
"Wierden";"10,0";"100";"5,1";"515,8";"283,1"
"Wijchen";"18,2";"100";"6,6";"361,4";"215,3"
"Wijdemeren";"10,8";"100";"7,4";"681,2";"355,9"
"Wijk bij Duurstede";"10,4";"100";"4,4";"428,1";"264,0"
"Winterswijk";"13,1";"100";"4,2";"323,1";"163,9"
"Woensdrecht";"9,9";"100";"3,4";"348,8";"202,5"
"Woerden";"22,9";"100";"11,1";"484,1";"251,3"
"De Wolden";"10,4";"100";"4,9";"472,9";"304,3"
"Wormerland";"7,3";"100";"3,1";"426,0";"241,0"
