"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2022"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Oude IJsselstreek";"17,2";"100";"5,3";"308,9";"169,1"
"Ouder-Amstel";"6,4";"100";"3,7";"584,6";"295,6"
"Oudewater";"4,3";"100";"2,8";"647,5";"292,6"
"Overbetuwe";"20,0";"100";"6,7";"334,9";"219,1"
"Papendrecht";"14,2";"100";"3,9";"273,1";"158,8"
"Peel en Maas";"18,8";"100";"7,2";"382,5";"233,8"
"Pekela";"5,6";"100";"0,8";"151,3";"73,4"
"Pijnacker-Nootdorp";"21,9";"100";"9,8";"446,7";"298,9"
"Purmerend";"41,3";"100";"11,7";"283,3";"187,6"
"Putten";"9,9";"100";"5,2";"522,9";"312,6"
"Raalte";"16,0";"100";"6,1";"382,6";"258,3"
"Reimerswaal";"9,2";"100";"3,1";"339,8";"136,5"
"Renkum";"14,7";"100";"6,3";"428,5";"212,5"
"Renswoude";"2,2";"100";"1,2";"539,0";"295,9"
"Reusel-De Mierden";"5,6";"100";"2,9";"513,7";"369,5"
"Rheden";"21,0";"100";"6,0";"287,3";"109,1"
"Rhenen";"8,3";"100";"3,7";"446,3";"231,1"
"Ridderkerk";"21,1";"100";"5,7";"271,5";"124,9"
"Rijssen-Holten";"14,4";"100";"7,4";"509,9";"226,1"
"Rijswijk (ZH.)";"27,3";"100";"6,8";"247,5";"91,0"
"Roerdalen";"9,4";"100";"3,0";"315,2";"205,4"
"Roermond";"28,5";"100";"6,2";"218,6";"89,0"
"De Ronde Venen";"19,4";"100";"11,8";"609,3";"302,6"
"Roosendaal";"35,4";"100";"8,9";"252,6";"133,3"
"Rotterdam";"326,4";"100";"59,9";"183,7";"11,9"
"Rozendaal";"0,7";"100";"0,8";"1087,8";"522,5"
"Rucphen";"10,1";"100";"3,5";"349,2";"214,5"
"Schagen";"20,8";"100";"7,9";"380,8";"226,7"
"Scherpenzeel";"4,2";"100";"1,6";"392,1";"253,1"
"Schiedam";"37,5";"100";"7,0";"187,1";"55,5"
"Schiermonnikoog";"0,5";"100";"0,2";"385,3";"195,7"
"Schouwen-Duiveland";"15,8";"100";"6,7";"424,5";"202,0"
"Simpelveld";"4,9";"100";"1,2";"234,6";"139,4"
"Sint-Michielsgestel";"12,3";"100";"6,4";"518,6";"331,6"
"Sittard-Geleen";"45,1";"100";"9,4";"208,0";"103,4"
"Sliedrecht";"10,7";"100";"2,8";"256,6";"131,4"
"Sluis";"11,2";"100";"4,8";"428,7";"221,9"
"Smallingerland";"25,1";"100";"5,6";"222,9";"112,8"
"Soest";"20,8";"100";"9,0";"432,9";"249,2"
"Someren";"8,3";"100";"3,9";"467,3";"286,9"
"Son en Breugel";"7,5";"100";"3,8";"506,9";"294,1"
"Stadskanaal";"14,6";"100";"3,0";"203,2";"95,7"
"Staphorst";"6,0";"100";"3,0";"503,8";"334,1"
"Stede Broec";"9,3";"100";"2,9";"305,8";"192,8"
"Steenbergen";"10,9";"100";"3,5";"320,4";"169,9"
"Steenwijkerland";"19,7";"100";"6,0";"303,6";"158,1"
"Stein (L.)";"11,5";"100";"2,9";"251,8";"186,0"
"Stichtse Vecht";"28,5";"100";"15,3";"536,5";"237,6"
"Súdwest-Fryslân";"40,4";"100";"12,0";"297,7";"152,8"
